Customer - Street,Customer - city,Customer - ZIP,Customer - Name,Customer - Last name,Customer - Phone Number,Customer - Email,Customer - ID,Transaction - Date,Transaction - Product,Transaction - Category,Transaction - value
ul. Jabłoni 133,Mikołów,43-195,Anastazy,Gorski,69 463 70 14,AnastazyGorski@rhyta.com,93942878199,01/06/19,WCKDG0,Shoes,270
ul. Brzozowa 7,Gryfice,72-302,Klementyna,Jaworska,79 241 25 29,KlementynaJaworska@rhyta.com,88321897199,22/08/17,WPUG1Y,Dress,126
ul. Chmielna 80,Katowice,40-655,Radosława,Jaworska,60 547 89 25,RadoslawaJaworska@jourrapide.com,91450567099,10/05/17,SPZMMU,Poloshirt,334
ul. Długa 147,Zabrze,41-800,Ewa,Pawlak,60 136 40 08,EwaPawlak@armyspy.com,19607888799,29/11/18,F7U2HD,Dress,329
ul. Dziubińskiej Heleny 149,Lublin,20-252,Elżbieta,Majewska,79 400 67 58,ElzbietaMajewska@gustr.com,72485440099,15/03/17,32DCQA,T-shirt,42
ul. Podgórna 63,Koszalin,75-321,Stefania,Jasińska,78 736 38 90,StefaniaJasinska@fleckens.hu,59464879999,10/04/17,GGK9JS,T-shirt,54
ul. Głowackiego Bartosza 123,Jaworzno,43-600,Jurek,Sobczak,79 602 92 74,JurekSobczak@armyspy.com,58724389599,06/08/17,MMMXA0,Highheels,85
ul. Długosza Jana 35,Gdynia,81-233,Miłosz,Zielinski,53 352 54 72,MiloszZielinski@fleckens.hu,65635884299,27/07/17,B3OVN0,Boots,163
ul. 10 Lutego 69,Mysłowice,41-400,Świętomierz,Kaczmarek,51 206 57 40,SwietomierzKaczmarek@armyspy.com,7252779599,23/08/19,3LVJCT,Dress,245
ul. Poznańska 84,Toruń,87-102,Friderich,Szczepański,88 746 54 73,FriderichSzczepanski@einrot.com,98302014899,16/04/17,SH9PTS,Shorts,307
ul. Podwale 150,Wrocław,50-024,Kazimiera,Kozłowska,53 314 11 47,KazimieraKozlowska@fleckens.hu,94900898199,25/01/18,BD6HYN,Hoodies,296
ul. Wiśniowy Sad 29,Szczecin,71-450,Julita,Król,72 443 74 40,JulitaKrol@superrito.com,35963990399,07/05/19,XNKW0I,Highheels,192
ul. Podgórna 101,Warszawa,03-157,Celestyna,Jaworska,69 401 38 31,CelestynaJaworska@fleckens.hu,35791629099,29/12/17,,null,null
ul. Kapitańska 10,Koszalin,75-206,Ruta,Dudek,51 141 73 26,RutaDudek@teleworm.us,36881893099,11/02/18,3S32FP,Boots,66
ul. Gajowa 109,Warszawa/Wesoła,05-075,Elżbieta,Rutkowska,53 642 46 85,ElzbietaRutkowska@jourrapide.com,94392377199,12/02/17,RU5YUD,Sweater,311
ul. Wodocza 128,Kraków,31-998,Danuta,Michalska,78 392 72 51,DanutaMichalska@rhyta.com,97269338099,07/07/19,3S32FP,Boots,66
ul. Janowska 44,Łódź,92-410,Lesława,Nowicka,78 789 78 91,LeslawaNowicka@superrito.com,24247921899,24/05/19,NAX9ZS,T-shirt,59
ul. Jabłonowskiego Jana Stanisława 47,Warszawa,02-956,Lidia,Nowicka,88 501 03 29,LidiaNowicka@superrito.com,37895262399,19/11/18,A83TDA,T-shirt,304
ul. Bytomska 91,Wrocław,52-024,Seweryna,Grabowska,72 522 52 88,SewerynaGrabowska@jourrapide.com,51767755699,10/05/19,OGZPTL,Skirt,264
Pl. Małachowskiego 69,Warszawa,00-940,Anka,Olszewska,79 235 73 45,AnkaOlszewska@dayrep.com,86978436199,29/11/19,BZZACP,Poloshirt,236
ul. Częstochowska 61,Bydgoszcz,85-855,Weronika,Kowalczyk,69 953 23 40,WeronikaKowalczyk@dayrep.com,35412006399,15/09/17,A4KI3Z,Boots,112
ul. Przybyszewskiego Stanisława 18,Szczecin,71-277,Gabrysz,Jasiński,66 222 86 31,GabryszJasinski@einrot.com,12265999699,11/01/17,W30HX8,Dress,249
ul. Hutnicza 31,Zawiercie,42-400,Konstancja,Nowicka,88 756 16 02,KonstancjaNowicka@teleworm.us,13556183499,19/05/18,,null,null
ul. Racławicka 150,Kraków,30-075,Aleksander,Duda,88 231 14 13,AleksanderDuda@einrot.com,89662876199,25/02/18,4RXYM0,Jacket,169
ul. Śniadeckich Jana i Jędrzeja 114,Rzeszów,35-006,Piotr,Zawadzki,79 756 51 21,PiotrZawadzki@einrot.com,89419194099,19/04/17,N08N70,Boots,77
ul. Chopina Fryderyka 30,Gdańsk,80-272,Jozafat,Czarnecki,69 821 30 37,JozafatCzarnecki@rhyta.com,61272359999,20/07/19,ZQ8EQ5,Jacket,93
ul. Głowackiego Bartosza 82,Bytom,41-910,Rafał,Pawłowski,60 654 04 63,RafalPawlowski@teleworm.us,71699401299,17/06/18,56CE6R,Dress,181
ul. Smolna 124,Lublin,20-353,Patrycja,Sobczak,78 971 79 42,PatrycjaSobczak@teleworm.us,5520546599,09/09/18,PWNVBV,Shorts,278
ul. Ratyńska 87,Wrocław,54-006,Błažej,Nowak,78 702 20 19,BlazejNowak@rhyta.com,64470778699,05/07/17,KGLGBX,Sweater,70
ul. Desantowa 101,Szczecin,71-889,Lucjan,Sawicki,67 501 40 64,LucjanSawicki@gustr.com,93492398499,10/12/19,W2YWBU,Shirt,136
ul. Włókiennicza 91,Łódź,90-263,Mścisław,Czarnecki,69 527 07 21,MscislawCzarnecki@cuvox.de,84834388399,22/10/17,X441SE,Shoes,318
ul. Trentowskiego Bronisława 41,Szczecin,71-303,Celestyn,Nowakowski,78 911 79 16,CelestynNowakowski@teleworm.us,19388394299,18/07/19,J11WS8,T-shirt,232
Al. Górnośląska 98,Katowice,40-511,Łukasz,Król,51 588 43 03,LukaszKrol@dayrep.com,41754128999,28/07/17,YREH6Q,Hat,165
ul. Działdowska 148,Wrocław,51-429,Paweł,Wysocki,51 318 82 56,PawelWysocki@rhyta.com,9383593499,05/08/18,WNMF01,Shoes,299
ul. Miedziana 53,Koszalin,75-219,Judyta,Kowalczyk,69 618 12 11,JudytaKowalczyk@rhyta.com,15474690899,30/05/19,P55DSK,Shoes,211
ul. Mylna 5,Bydgoszcz,85-138,Włodzisław,Wojciechowski,79 856 51 62,WlodzislawWojciechowski@rhyta.com,46815162599,12/05/17,NH0XVE,Shorts,175
ul. Rokitniańczyków 41,Nowy Sącz,33-305,Longin,Zając,88 350 99 84,LonginZajac@rhyta.com,15461211999,06/07/18,SH9PTS,Shorts,307
ul. Szczepanowskiego Stanisława 17,Poznań,60-541,Eligiusz,Kowalczyk,51 392 38 46,EligiuszKowalczyk@jourrapide.com,14237373899,21/09/19,JL1D5C,Skirt,40
ul. Bartoszka Franciszka 129,Warszawa,00-710,Urszula,Król,53 505 26 74,UrszulaKrol@fleckens.hu,48325431799,05/10/17,0G64E9,Jacket,197
ul. Zgierska 12,Łódź,91-059,Bożena,Pawlak,66 415 85 50,BozenaPawlak@armyspy.com,35255317899,02/11/18,T15J3E,T-shirt,185
ul. Stojanowska 68,Warszawa,03-558,Judyta,Kaczmarek,67 995 50 48,JudytaKaczmarek@superrito.com,42344568799,03/06/17,4OFRST,Sunglasses,240
ul. Wolna 128,Łódź,91-043,Genowefa,Duda,78 532 57 04,GenowefaDuda@dayrep.com,15311461999,11/02/17,XNKW0I,Highheels,192
ul. Sianokosów 9,Szczecin,71-212,Jadzia,Dąbrowski,88 173 10 31,JadziaDabrowski@armyspy.com,6929290499,04/06/19,A5RL09,T-shirt,335
ul. Karoliny 112,Katowice,40-186,Lucyna,Piotrowska,88 275 24 23,LucynaPiotrowska@jourrapide.com,66581396699,02/02/18,UWRKFS,Sweater,75
ul. Sarnia 20,Poznań,61-058,Bonifacy,Walczak,66 476 94 87,BonifacyWalczak@cuvox.de,34596503799,26/08/17,N2FP12,Dress,258
ul. Wyspiańskiego Stanisława 76,Warszawa,01-577,Berta,Piotrowska,66 971 83 32,BertaPiotrowska@jourrapide.com,71491678599,17/09/19,SWKTC4,Sweater,269
ul. Bagienna 63,Białystok,15-166,Lidia,Dudek,51 257 76 83,LidiaDudek@teleworm.us,15357387499,20/01/19,HK2ULD,Skirt,127
ul. Brzeskiego Michała 40,Częstochowa,42-215,Nikodem,Nowakowski,78 787 81 95,NikodemNowakowski@fleckens.hu,49284451199,03/07/17,Y7VSUA,T-shirt,146
ul. Krucza 140,Tarnowskie Góry,42-605,Franciszek,Wojciechowski,72 392 63 47,FranciszekWojciechowski@gustr.com,41851448299,08/08/19,8A0HDW,T-shirt,187
ul. 28 Pułku Strzelców Kaniowskich 133,Łódź,90-640,Józefa,Kwiatkowska,78 512 20 42,JozefaKwiatkowska@rhyta.com,92268700299,21/03/18,UTWT54,T-shirt,292
ul. Gorczańska 45,Lublin,20-868,Zachariasz,Wojciechowski,79 739 98 50,ZachariaszWojciechowski@einrot.com,45773297999,12/06/19,E97QYD,T-shirt,284
ul. Toporowska 141,Warszawa,04-262,Kondrat,Sokołowski,60 211 91 75,KondratSokolowski@rhyta.com,62424201799,18/10/19,UPQJQ4,Shoes,346
ul. Udzieli Seweryna 122,Kraków,30-829,Szczepan,Kwiatkowski,60 588 37 02,SzczepanKwiatkowski@armyspy.com,71488657599,29/10/19,24PHZ6,Shirt,259
ul. Wybrzeże Conrada Korzeniowskiego 55,Wrocław,50-226,Anka,Nowakowska,51 779 37 36,AnkaNowakowska@armyspy.com,67998501399,28/04/17,MJU3TL,Jeans,180
ul. Hutnicza 144,Gdynia,81-212,Zdzisława,Piotrowska,69 612 92 51,ZdzislawaPiotrowska@teleworm.us,72226973699,05/09/17,SH9PTS,Shorts,307
ul. Wandy 131,Opole,45-711,Łukasz,Czarnecki,67 933 04 80,LukaszCzarnecki@rhyta.com,23491087599,08/03/18,EIA0BC,Sweater,124
ul. Szynowa 41,Warszawa,03-164,Mirosława,Jabłońska,66 366 11 25,MiroslawaJablonska@jourrapide.com,98487151499,23/04/19,GVEAE8,Dress,176
ul. Długosza Jana 136,Gdynia,81-233,Jędrzej,Maciejewski,78 801 70 25,JedrzejMaciejewski@rhyta.com,93990090999,18/07/19,7EUCFK,Jeans,44
ul. Wygodna 83,Szczecin,70-789,Dobrosława,Król,60 795 39 37,DobroslawaKrol@superrito.com,21865853199,27/04/17,6V4B9C,Shoes,217
ul. Wazów 45,Zielona Góra,65-041,Angelika,Jabłońska,66 773 87 13,AngelikaJablonska@rhyta.com,40612700899,08/07/19,EMFBX6,Skirt,96
ul. Plater Emilii 106,Wrocław,51-680,Przemysław,Dąbrowski,72 701 98 69,PrzemyslawDabrowski@einrot.com,65435072099,03/04/17,92VCKB,Hoodies,215
ul. Świecka 81,Łódź,93-351,Kazia,Symanska,53 171 66 47,KaziaSymanska@rhyta.com,98328711199,24/06/19,DN85VZ,Hoodies,145
ul. Jana z Czarnolasu 94,Szczecin,71-746,Gabriela,Kaczmarek,72 708 23 66,GabrielaKaczmarek@fleckens.hu,47899047099,24/06/17,DZOS1L,T-shirt,148
ul. Tumidajskiego Kazimierza 88,Lublin,20-247,Klementyna,Pawlak,67 837 39 02,KlementynaPawlak@jourrapide.com,59473225399,12/06/19,K4VE4I,Longcoat,339
